id,title,magnitude,date-time,date-label,latitude,longitude,depth,region,url-usgs
us7000lt65,M 4.5 - south of the Fiji Islands,4.5,2024-01-23 10:43:34.084,23-01-2024 10:43,-23.3749,-179.8136,530.084,south of the Fiji Islands,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt65
us7000lt5w,"M 4.3 - 127 km WNW of Aykol, China",4.3,2024-01-23 10:05:57.912,23-01-2024 10:05,41.2419,78.6698,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt5w
us7000lt5s,"M 4.4 - 57 km NNW of Insrom, Indonesia",4.4,2024-01-23 09:54:39.850,23-01-2024 09:54,-0.6371,135.9108,20.473,Indonesia,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt5s
us7000lt5q,"M 4.4 - 127 km WNW of Aykol, China",4.4,2024-01-23 09:47:20.843,23-01-2024 09:47,41.2567,78.6735,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt5q
us7000lt5m,"M 4.2 - 122 km WNW of Aykol, China",4.2,2024-01-23 09:24:48.264,23-01-2024 09:24,41.369,78.7846,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt5m
us7000lt5k,"M 4.6 - 130 km W of Aykol, China",4.6,2024-01-23 09:23:21.651,23-01-2024 09:23,41.1438,78.5982,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt5k
us7000lu5p,"M 4.4 - 128 km W of Aykol, China",4.4,2024-01-23 09:10:11.463,23-01-2024 09:10,41.1657,78.6323,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu5p
us7000lt5h,"M 4.9 - 119 km WNW of Aykol, China",4.9,2024-01-23 09:07:11.636,23-01-2024 09:07,41.239,78.766,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt5h
us7000lu4p,"M 4.6 - 67 km SSE of Padang, Indonesia",4.6,2024-01-23 09:05:01.768,23-01-2024 09:05,-1.5186,100.5675,88.018,Indonesia,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4p
us7000lu4n,"M 4.2 - 262 km NW of Houma, Tonga",4.2,2024-01-23 08:40:48.720,23-01-2024 08:40,-19.6927,-177.2679,404.476,Tonga,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4n
us7000lt5c,"M 4.1 - 126 km SSE of Kyzyl-Suu, Kyrgyzstan",4.1,2024-01-23 07:31:52.856,23-01-2024 07:31,41.3215,78.6702,10.0,Kyrgyzstan,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt5c
us7000lt58,"M 4.3 - 123 km WNW of Aykol, China",4.3,2024-01-23 07:19:17.537,23-01-2024 07:19,41.1846,78.6917,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt58
us7000lt57,"M 4.0 - 125 km W of Aykol, China",4.0,2024-01-23 07:06:37.682,23-01-2024 07:06,41.1431,78.6587,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt57
us7000lu4j,"M 4.2 - 53 km NW of Neiafu, Tonga",4.2,2024-01-23 06:44:19.238,23-01-2024 06:44,-18.3313,-174.3662,61.166,Tonga,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4j
us7000lt54,"M 4.3 - 127 km W of Aykol, China",4.3,2024-01-23 06:41:09.982,23-01-2024 06:41,41.1596,78.6372,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt54
us7000lu4s,"M 4.4 - 36 km E of Port-Vila, Vanuatu",4.4,2024-01-23 06:15:06.237,23-01-2024 06:15,-17.6903,168.6539,214.181,Vanuatu,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4s
us7000lt4u,"M 4.3 - 35 km S of Kastrí, Greece",4.3,2024-01-23 05:28:04.632,23-01-2024 05:28,34.5242,24.1547,34.25,Greece,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt4u
nc73992726,"M 4.3 - 16 km WSW of Klamath, CA",4.33,2024-01-23 05:26:10.410,23-01-2024 05:26,41.499,-124.2015,35.68,CA,https://earthquake.usgs.gov/earthquakes/eventpage/nc73992726
us7000lu4g,"M 4.3 - 297 km SSE of Port Blair, India",4.3,2024-01-23 05:12:00.608,23-01-2024 05:12,9.2344,93.901,10.0,India,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4g
us7000lt4k,"M 4.5 - 97 km WSW of Coquimbo, Chile",4.5,2024-01-23 05:05:07.112,23-01-2024 05:05,-30.176,-72.3177,10.0,Chile,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt4k
us7000lu4f,M 4.5 - south of the Fiji Islands,4.5,2024-01-23 04:48:58.601,23-01-2024 04:48,-24.2821,179.7666,546.387,south of the Fiji Islands,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4f
us7000lu4d,"M 4.1 - 119 km WNW of Aykol, China",4.1,2024-01-23 04:31:02.110,23-01-2024 04:31,41.2653,78.7671,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu4d
